1,Sisile,Fanthome,719-647-7544,Short,Sales Associate,Delaware,Rocky Mountains
2,Gallagher,Goodlet,815-824-8405,Medium,Web Developer,Pennsylvania,Great Lakes
3,Bertrand,Schruyers,127-409-1458,Long,Customer Service Representative,Indiana,Pacific Northwest
4,Helene,Derycot,838-173-8539,Medium,Customer Service Representative,Michigan,Southwest
5,Edithe,Kaplin,835-633-7646,Long,Marketing Manager,Illinois,South
6,Claudius,Youthed,337-651-9880,Short,Customer Service Representative,Virginia,Pacific Northwest
7,Cynthie,New,343-148-5539,Medium,Marketing Manager,Kentucky,Southeast
8,Maximilien,Vellender,583-959-9215,Long,Customer Service Representative,Indiana,Mid-Atlantic
9,Jewell,Hattigan,792-544-2957,Medium,Inventory Specialist,Missouri,Southwest
10,Tommie,Corlett,539-444-1104,Short,Sales Associate,Missouri,Northeast
11,Ashely,Rushbury,938-918-5514,Medium,Marketing Manager,Colorado,South
12,Gordy,Hablet,199-997-7915,Medium,Sales Associate,Pennsylvania,Rocky Mountains
13,Marsha,Pound,216-683-6860,Long,Chief Financial Officer,Colorado,South
14,Valeda,Mew,746-674-4657,Short,Customer Service Representative,Oregon,Northeast
15,Ardeen,Tattershaw,967-599-8071,Medium,Inventory Specialist,Wisconsin,Southwest
